city,Stu_pop,student %,depressive %,dep students %,dep workers %
Ludhiana,5226,21.26,19.27,58.24,8.75
Varanasi,4606,14.87,14.22,53.14,7.42
Visakhapatnam,5176,18.72,15.92,56.97,6.47
Mumbai,4966,14.08,13.13,55.22,6.23
Kanpur,4398,13.85,12.57,54.19,5.89
Ahmedabad,5613,16.94,21.79,67.3,12.51
Thane,4289,26.56,24.22,59.09,11.62
Nashik,3144,17.4,15.87,52.83,8.09
Bangalore,4123,18.6,17.56,60.89,7.66
Patna,5924,17.0,16.32,63.16,6.73
Rajkot,5207,15.67,17.32,62.62,8.9
Jaipur,4328,23.94,18.14,52.41,7.35
Pune,5210,18.58,16.1,55.89,7.02
Lucknow,4280,26.99,21.4,55.5,8.8
Meerut,5528,14.92,13.4,59.76,5.27
Agra,4684,23.36,19.24,53.47,8.8
Surat,4636,23.25,20.19,57.98,8.74
Faridabad,3268,14.11,14.69,58.79,7.45
Hyderabad,4496,29.8,27.51,66.94,10.77
Srinagar,5074,27.04,21.17,55.61,8.4
Ghaziabad,3620,20.58,19.5,57.45,9.67
Kolkata,5689,18.74,17.37,60.88,7.33
Chennai,4044,21.88,19.44,59.66,8.17
Kalyan,6591,23.82,19.97,59.49,7.61
Nagpur,4209,15.47,14.49,55.76,6.94
Vadodara,4568,15.19,16.77,56.2,9.71
Vasai-Virar,5765,22.38,19.79,57.29,8.98
Delhi,3593,21.37,19.18,60.94,7.82
Bhopal,3475,26.88,23.25,61.99,9.01
Indore,4872,13.2,16.09,60.5,9.34
